,V1
S2801,hysteria
S2802,takayasu arteritis
S2803,myositis ossificans
S2804,heterotaxy syndrome
S2805,osler-rendu-weber syndrome 2
S2806,aminoacylase 1 deficiency
S2807,aicardi syndrome
S2808,nelson syndrome
S2809,pituitary acth hypersecretion
S2810,severe combined immunodeficiency due to adenosine deaminase deficiency
S2811,cone-rod dystrophy 9
S2812,weill-marchesani syndrome
S2813,weill-marchesani-like syndrome
S2814,ehlers-danlos syndrome, type vii, autosomal recessive
S2815,acromicric dysplasia
S2816,geleophysic dysplasia 1
S2817,ectopia lentis 2, isolated, autosomal recessive
S2818,aicardi-goutieres syndrome
S2819,dyschromatosis symmetrica hereditaria 1
S2820,coenzyme q10 deficiency, primary, 1
S2821,spinocerebellar ataxia, autosomal recessive 9
S2822,hypercalciuria, absorptive, 2
S2823,colonic polyps
S2824,asphyxia neonatorum
S2825,echinococcosis, hepatic
S2826,giardiasis
S2827,autonomic dysreflexia
S2828,facial asymmetry
S2829,chromosome fragility
S2830,hypertension, essential
S2831,parkinson disease, late-onset
S2832,adiponectin, serum level of, quantitative trait locus 2
S2833,adiponectin, serum level of, quantitative trait locus 3
S2834,diabetes, gestational
S2835,dystonia, dopa-responsive
S2836,neurodegeneration with brain iron accumulation (nbia)
S2837,parkinson disease, juvenile, autosomal recessive
S2838,phencyclidine abuse
S2839,segawa syndrome, autosomal recessive
S2840,shy-drager syndrome
S2841,transvestism
S2842,gambling
S2843,heart murmurs
S2844,hyperemesis gravidarum
S2845,neoplasms, squamous cell
S2846,thyroid hormone resistance syndrome
S2847,gait apraxia
S2848,smooth muscle tumor
S2849,aging, premature
S2850,protoporphyria, erythropoietic
S2851,adenylosuccinate lyase deficiency
S2852,mental retardation, x-linked, associated with fragile site fraxe
S2853,spinocerebellar ataxia 28
S2854,aspartylglucosaminuria
S2855,ciguatera poisoning
S2856,klippel-trenaunay-weber syndrome
S2857,glycogen storage disease type iii
S2858,dysentery, amebic
S2859,lipodystrophy, congenital generalized, type 1
S2860,rhizomelic chondrodysplasia punctata, type 3
S2861,congenital myasthenic syndrome ib
S2862,acquired cjd
S2863,anemia, neonatal
S2864,autoimmune lymphoproliferative syndrome
S2865,craniofacial dysostosis
S2866,parotitis
S2867,soft tissue injuries
S2868,conversion disorder
S2869,echolalia
S2870,mental retardation, x-linked
S2871,primary hyperoxaluria type 1
S2872,amino acid metabolism, inborn errors
S2873,bell palsy
S2874,flavivirus infections
S2875,hemorrhagic fever, american
S2876,hemorrhagic fever, crimean
S2877,hemorrhagic fever with renal syndrome
S2878,hepatitis a
S2879,hypertensive retinopathy
S2880,lassa fever
S2881,orthomyxoviridae infections
S2882,paramyxoviridae infections
S2883,phlebotomus fever
S2884,reoviridae infections
S2885,rift valley fever
S2886,sarcoidosis, pulmonary
S2887,subacute sclerosing panencephalitis
S2888,joubert syndrome 3
S2889,chromoblastomycosis
S2890,hyperoxaluria, primary
S2891,kernicterus
S2892,mental fatigue
S2893,pancreatic adenoma
S2894,pancreatic cancer, adult
S2895,sulfhemoglobinemia
S2896,immunodeficiency with hyper-igm, type 2
S2897,combined oxidative phosphorylation deficiency 6
S2898,eosinophilic pustular folliculitis
S2899,glycogen storage disease
S2900,laryngomalacia
S2901,nesidioblastosis
S2902,preeclamptic toxemia
S2903,ureaplasma infections
S2904,west nile fever
S2905,wound infection
S2906,acth-secreting pituitary adenoma
S2907,leber congenital amaurosis 4
S2908,autoimmune polyendocrinopathy syndrome, type 1
S2909,polyendocrinopathies, autoimmune
S2910,autoimmune disease, susceptibility to, 1
S2911,adenylate kinase deficiency, hemolytic anemia due to
S2912,reticular dysgenesis
S2913,severe combined immunodeficiency
S2914,lichen nitidus
S2915,cardiac conduction defect
S2916,long qt syndrome 11
S2917,laryngitis
S2918,abortion, threatened
S2919,lymphangioleiomyomatosis
S2920,omphalocele exstrophy imperforate anus
S2921,pityriasis lichenoides
S2922,salpingitis
S2923,bile acid synthesis defect, congenital, 2
S2924,cestode infections
S2925,diphyllobothriasis
S2926,taeniasis
S2927,trematode infections
S2928,breast-ovarian cancer, familial, susceptibility to, 1
S2929,depression, postpartum
S2930,empyema
S2931,fever of unknown origin
S2932,myoma
S2933,pedophilia
S2934,polycystic liver disease
S2935,macrocephaly
S2936,dermatitis, photoallergic
S2937,diffuse alopecia
S2938,felty syndrome
S2939,hyperparathyroidism, primary
S2940,hypothalamic diseases
S2941,porphyria, acute hepatic
S2942,vulvodynia
S2943,protoporphyria, erythropoietic, x-linked
S2944,x-linked sideroblastic anemia
S2945,abdominal abscess
S2946,amebiasis
S2947,bacteroides infections
S2948,borrelia infections
S2949,bronchiectasis
S2950,central nervous system bacterial infections
S2951,clostridium infections
S2952,entamoebiasis
S2953,heart septal defects
S2954,hyperthyroxinemia, familial dysalbuminemic
S2955,hypoparathyroidism familial isolated
S2956,leukemia, biphenotypic, acute
S2957,lyme neuroborreliosis
S2958,nocardia infections
S2959,pulmonary atelectasis
S2960,trichomonas infections
S2961,trichomonas vaginitis
S2962,zinc, elevated plasma
S2963,eye diseases, hereditary
S2964,mucinoses
S2965,urethral diseases
S2966,alcohol sensitivity, acute
S2967,hyperprolinemia type 2
S2968,pyridoxine-dependent epilepsy
S2969,glycogen storage disease xii
S2970,hematoma, subdural, intracranial
S2971,fructose intolerance
S2972,congenital disorder of glycosylation type 1k
S2973,congenital disorder of glycosylation, type ip
S2974,congenital disorder of glycosylation type 1g
S2975,congenital disorder of glycosylation type 1i
S2976,congenital disorder of glycosylation type 1d
S2977,congenital disorder of glycosylation type 1c
S2978,congenital disorder of glycosylation type 1h
S2979,congenital disorder of glycosylation type 1l
S2980,plasma cell granuloma, pulmonary
S2981,cystinuria
S2982,glucosephosphate dehydrogenase deficiency
S2983,hemarthrosis
S2984,lafora disease
S2985,myasthenia gravis, autoimmune, experimental
S2986,thrombotic thrombocytopenic purpura, acquired
S2987,ichthyosiform erythroderma, brocq congenital, nonbullous form
S2988,periapical diseases
S2989,fibrous dysplasia of bone
S2990,hypophosphatasia, adult
S2991,hypophosphatasia, childhood
S2992,hypophosphatasia, infantile
S2993,osteoporosis-pseudoglioma syndrome
S2994,allergic rhinitis
S2995,amyotrophic lateral sclerosis 2, juvenile
S2996,hereditary spastic paralysis, infantile onset ascending
S2997,primary lateral sclerosis juvenile
S2998,frontonasal dysplasia 3
S2999,frontonasal dysplasia 1
S3000,frontonasal dysplasia 2
S3001,parietal foramina
S3002,parietal foramina 2
S3003,bile acid synthesis defect, congenital, 4
S3004,amelogenesis imperfecta, hypoplastic/hypomaturation, x-linked 1
S3005,osteopathia striata cranial sclerosis
S3006,persistent mullerian duct syndrome
S3007,alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis
S3008,megaloblastic anemia 1
S3009,adenosine monophosphate deaminase deficiency
S3010,bone cysts, aneurysmal
S3011,angelman syndrome
S3012,amyotrophic lateral sclerosis 9
S3013,ergotism
S3014,hypobetalipoproteinemia, familial, 2
S3015,spherocytosis, type 1
S3016,cardiac arrhythmia, ankyrin-b-related
S3017,chondrocalcinosis 2
S3018,craniometaphyseal dysplasia, autosomal dominant
S3019,tooth abnormalities
S3020,dental enamel hypoplasia
S3021,dental pulp calcification
S3022,nutrition disorders
S3023,gnathodiaphyseal dysplasia
S3024,muscular dystrophy, limb-girdle, type 2l
S3025,scott syndrome
S3026,eye infections
S3027,hemangioma, capillary infantile
S3028,hyalinosis, systemic
S3029,dermatitis, seborrheic
S3030,paratuberculosis
S3031,abdominal obesity metabolic syndrome
S3032,mental retardation, x-linked, syndromic, fried type
S3033,familial benign hypercalcemia, type 3
S3034,hermansky pudlak syndrome 2
S3035,spastic paraplegia 50, autosomal recessive
S3036,spastic paraplegia 48, autosomal recessive
S3037,turcot syndrome
S3038,hypotrichosis simplex
S3039,granuloma, pyogenic
S3040,hutchinson&apos;s melanotic freckle
S3041,amyloidosis, familial visceral
S3042,intestinal volvulus
S3043,hypertriglyceridemia, familial
S3044,hypercholesterolemia, autosomal dominant, type b
S3045,hypobetalipoproteinemia, familial, apolipoprotein b
S3046,hyperlipoproteinemia type i
S3047,alzheimer disease, familial
S3048,alzheimer disease type 2
S3049,cerebral amyloid angiopathy
S3050,lipoprotein glomerulopathy
S3051,macular degeneration, age-related, 1
S3052,sea-blue histiocyte syndrome
S3053,candidemia
S3054,cerebral amyloid angiopathy, app-related
S3055,cerebral hemorrhage with amyloidosis, hereditary, dutch type
S3056,colonic pseudo-obstruction
S3057,fungemia
S3058,labyrinthitis
S3059,meningitis, fungal
S3060,mucormycosis
S3061,zygomycosis
S3062,early-onset ataxia with oculomotor apraxia and hypoalbuminemia
S3063,carcinoma, adenoid cystic
S3064,diabetes insipidus, neurogenic
S3065,androgen-insensitivity syndrome
S3066,aspermia
S3067,bulbospinal neuronopathy, x-linked recessive
S3068,epispadias
S3069,hypospadias 1, x-linked
S3070,sexual precocity
S3071,heterotopia, periventricular, autosomal recessive
S3072,erythema chronicum migrans
S3073,hyperargininemia
S3074,impetigo
S3075,pruritus vulvae
S3076,slowed nerve conduction velocity, autosomal dominant
S3077,mental retardation, x-linked 46
S3078,epileptic encephalopathy, early infantile, 8
S3079,adenocarcinoma of esophagus
S3080,coffin-siris syndrome
S3081,joubert syndrome 8
S3082,bardet-biedl syndrome
S3083,retinitis pigmentosa 55
S3084,leukodystrophy, metachromatic
S3085,mucopolysaccharidosis vi
S3086,chondrodysplasia punctata, brachytelephalangic
S3087,epileptic encephalopathy, early infantile, 1
S3088,lissencephaly, x-linked, 2
S3089,mental retardation, x-linked, with or without seizures, arx-related
S3090,partington x-linked mental retardation syndrome
S3091,proud syndrome
S3092,farber lipogranulomatosis
S3093,tuberculoma, intracranial
S3094,congenital central hypoventilation syndrome
S3095,acanthamoeba keratitis
S3096,babesiosis
S3097,argininosuccinic aciduria
S3098,anterior segment mesenchymal dysgenesis
S3099,canavan disease
S3100,microcephaly 5, primary, autosomal recessive
S3101,sarcoma, alveolar soft part
S3102,citrullinemia
S3103,bohring syndrome
S3104,cerebellar ataxia, cayman type
S3105,jeune syndrome
S3106,atrial fibrillation, familial 1
S3107,inflammatory bowel disease 10
S3108,aicar transformylase/imp cyclohydrolase deficiency
S3109,spastic paraplegia 3, autosomal dominant
S3110,dermatitis, atopic, 1
S3111,wounds, nonpenetrating
S3112,parkinson disease 9
S3113,emaciation
S3114,alternating hemiplegia of childhood
S3115,migraine, familial hemiplegic, 2
S3116,dystonia 12
S3117,brody myopathy
S3118,deafness, autosomal recessive 12
S3119,mental retardation, x-linked, with epilepsy
S3120,cutis laxa, autosomal recessive, type iia
S3121,wrinkly skin syndrome
S3122,renal tubular acidosis, distal, autosomal recessive
S3123,renal tubular acidosis, distal, with progressive nerve deafness
S3124,spinal muscular atrophy, distal, x-linked 3
S3125,mitochondrial complex v (atp synthase) deficiency, nuclear type 1;mc5dn1 mitochondrial complex v (atp synthase) deficiency, atpaf2 type
S3126,seckel syndrome 1
S3127,alpha-thalassemia myelodysplasia syndrome
S3128,atr-x syndrome
S3129,mental retardation-hypotonic facies syndrome, x-linked, 1
S3130,thoracic diseases
S3131,spinocerebellar ataxia 10
S3132,machado-joseph disease
S3133,3-methylglutaconic aciduria, type i
S3134,spermatogenic failure 5
S3135,genetic diseases, x-linked
S3136,nephrogenic syndrome of inappropriate antidiuresis
S3137,atrioventricular septal defect 3
S3138,caudal duplication anomaly
S3139,oligodontia-colorectal cancer syndrome
S3140,spermatogenic failure, nonobstructive, y-linked
S3141,hypoproteinemia, hypercatabolic
S3142,krause-kivlin syndrome
S3143,congenital disorder of glycosylation type 2d
S3144,ehlers-danlos syndrome, progeroid form
S3145,hypercholanemia, familial
S3146,choroidal neovascularization
S3147,retinal neovascularization
S3148,rhinitis, vasomotor
S3149,encephalopathy, bovine spongiform
S3150,myopathy, myofibrillar 6, mfm6
S3151,nevi and melanomas
S3152,acitretin embryopathy
S3153,alien hand syndrome
S3154,chorioretinitis
S3155,infant nutrition disorders
S3156,larva migrans
S3157,olfactory nerve injuries
S3158,papillon-lefevre disease
S3159,secernentea infections
S3160,sparganosis
S3161,williams syndrome
S3162,maple syrup urine disease
S3163,bamforth syndrome
S3164,butyrylcholinesterase deficiency
S3165,paralysis, obstetric
S3166,pseudocholinesterase deficiency
S3167,sweating, gustatory
S3168,chondrosarcoma, mesenchymal
S3169,t-lymphocytopenia
S3170,hypercarotenemia and vitamin a deficiency, autosomal dominant
S3171,microphthalmia, syndromic 2
S3172,bjornstad syndrome
S3173,finnish lethal neonatal metabolic syndrome
S3174,leigh disease
S3175,mitochondrial complex iii deficiency
S3176,brachydactyly type a1
S3177,chromosome 2q37 deletion syndrome
S3178,absence of tibia
S3179,headache disorders, secondary
S3180,obesity, morbid
S3181,wilms tumor, aniridia, genitourinary anomalies, mental retardation, and obesity syndrome
S3182,spinocerebellar ataxia 31
S3183,bestrophinopathy, autosomal recessive
S3184,macular dystrophy, concentric annular
S3185,macular dystrophy, vitelliform, adult-onset
S3186,retinitis pigmentosa 50
S3187,vitelliform macular dystrophy
S3188,vitreoretinochoroidopathy
S3189,cataract, cortical, juvenile-onset
S3190,cataract, autosomal dominant
S3191,cataract, autosomal dominant, multiple types 1
S3192,mandibular diseases
S3193,myopathies, structural, congenital
S3194,myopathy, centronuclear, 2
S3195,leukemia, megakaryoblastic, acute
S3196,maturity-onset diabetes of the young, type 11
S3197,bloom syndrome
S3198,agammaglobulinemia 4, autosomal recessive
S3199,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells
S3200,body mass index quantitative trait locus 4
S3201,ovarian dysgenesis 2
S3202,microphthalmia, syndromic 6
S3203,orofacial cleft 11
S3204,hamartoma syndrome, multiple
S3205,juvenile polyposis syndrome
S3206,polyposis syndrome, hereditary mixed, 2
S3207,brachydactyly type a2
S3208,chondrodysplasia, acromesomelic, with genital anomalies
S3209,pulmonary edema of mountaineers
S3210,bisphosphoglycerate mutase deficiency
S3211,cardiofaciocutaneous syndrome
S3212,costello syndrome
S3213,leopard syndrome 3
S3214,noonan syndrome
S3215,noonan syndrome 7
S3216,hereditary breast and ovarian cancer syndrome
S3217,breast-ovarian cancer, familial, susceptibility to, 2
S3218,fanconi anemia, complementation group d1
S3219,fanconi anemia, complementation group j
S3220,mental retardation, x-linked 93
S3221,lipodystrophy, congenital generalized, type 2
S3222,neuronopathy, distal hereditary motor, type va
S3223,spastic paraplegia 17
S3224,bartter syndrome, type 4a
S3225,biotinidase deficiency
S3226,bruton type agammaglobulinemia
S3227,hypogammaglobulinemia and isolated growth hormone deficiency, x-linked
S3228,mosaic variegated aneuploidy syndrome
S3229,premature chromatid separation trait
S3230,mitochondrial dna depletion syndrome 3 (hepatocerebral type)
S3231,mitochondrial dna depletion syndrome 7 (hepatocerebral type)
S3232,progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3
S3233,sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
S3234,combined oxidative phosphorylation deficiency 7
S3235,tn syndrome
S3236,late-onset retinal degeneration
S3237,complement component c1r/c1s deficiency
S3238,complement component 2 deficiency
S3239,macular degeneration, age-related, 9
S3240,complement component 5 deficiency
S3241,complement component 6 deficiency
S3242,complement component 7 deficiency
S3243,complement component 8 deficiency, type i
S3244,complement component 8 deficiency, type ii
S3245,hyperchlorhidrosis, isolated
S3246,osteopetrosis with renal tubular acidosis
S3247,retinitis pigmentosa 17
S3248,cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3
S3249,anaplasia
S3250,carcinoma, intraductal, noninfiltrating
S3251,night blindness, congenital stationary, type 2b
S3252,hemiplegic migraine, familial type 1
S3253,migraine, familial hemiplegic, 1
S3254,brugada syndrome 3
S3255,timothy syndrome
S3256,aland island eye disease
S3257,cone-rod dystrophy, x-linked, 3
S3258,night blindness, congenital stationary, type 2a
S3259,hypokalemic periodic paralysis, type 1
S3260,malignant hyperthermia susceptibility type 5
S3261,thyrotoxic periodic paralysis, susceptibility to, 1
S3262,retinal cone dystrophy 4
S3263,brugada syndrome 4
S3264,episodic ataxia, type 5
S3265,spherocytosis, hereditary
S3266,adiposis dolorosa
S3267,myocardial bridging
S3268,syphilis, secondary
S3269,desbuquois syndrome
S3270,diabetes mellitus, noninsulin-dependent, 1
S3271,limb-girdle muscular dystrophy type 2a
S3272,candidiasis, familial, 2
S3273,mental retardation and microcephaly with pontine and cerebellar hypoplasia
S3274,opitz-kaveggia syndrome
S3275,autoimmune lymphoproliferative syndrome, type iia
S3276,lymphoma, non-hodgkin, familial
S3277,creatine deficiency, x-linked
S3278,leukoencephalitis, acute hemorrhagic
